Unnamed: 0,Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price
107,3.7,6.0,64.0,4.5,48,9.78483245149912,3000,649
59,3.7,10.0,32.0,4.5,64,9.78483245149912,3000,799
622,4.3,6.0,128.0,5.99,35,12.0,3000,16999
692,4.5,6.0,64.0,6.26,35,5.0,3000,16675
100,4.3,3.0,32.0,6.2,38,2.0,4230,8990
500,4.6,12.0,64.0,6.1,35,7.0,3500,573000
750,4.5,8.0,128.0,6.7,48,12.0,4700,47999
604,4.1,6.0,32.0,3.7,64,9.78483245149912,3500,980
796,4.3,4.0,4.0,4.77,64,9.78483245149912,3500,1349
179,4.4,6.0,64.0,6.5,40,2.0,3750,19999
304,4.5,8.0,128.0,6.7,48,12.0,4700,47999
698,3.4,6.0,64.0,4.54,20,5.0,3500,1299
499,4.5,8.0,128.0,6.7,64,1.0,4700,77999
811,3.6,6.0,32.0,4.5,48,9.78483245149912,3000,898
149,4.2,8.0,64.0,4.77,48,9.78483245149912,3000,699
124,3.7,6.0,64.0,4.5,48,9.78483245149912,3000,639
817,4.5,6.0,128.0,6.39,48,13.0,3800,24999
802,4.4,2.0,16.0,6.22,38,5.0,4030,9350
185,4.5,6.0,64.0,6.18,35,5.0,3800,21999
764,4.1,8.0,64.0,4.54,64,9.78483245149912,2500,1199
50,3.5,6.0,32.0,4.52,48,9.78483245149912,3800,2599
813,3.9,6.0,32.0,4.5,64,9.78483245149912,3000,1089
446,3.7,6.0,32.0,4.77,48,9.78483245149912,1750,927
825,4.1,4.0,40.0,4.77,48,15.0,3000,1080
493,4.2,8.0,32.0,4.58,64,9.78483245149912,1750,1840
321,4.5,8.0,128.0,6.5,64,13.0,3800,31999
353,4.5,4.0,64.0,5.6,35,20.0,3000,30999
772,4.7,8.0,64.0,6.5,35,12.0,3500,117100
142,4.2,6.0,24.0,4.54,48,9.78483245149912,1750,1599
370,4.4,8.0,128.0,6.4,64,13.0,4025,29990
141,3.7,8.0,64.0,4.5,48,6.0,3000,650
399,4.1,8.0,64.0,4.77,48,8.0,5000,1275
263,3.5,2.0,16.0,5.5,5,5.0,2500,4999
320,4.5,6.0,64.0,5.5,35,12.0,3500,36999
19,4.3,2.0,32.0,6.2,38,2.0,4230,12990
172,3.4,6.0,32.0,4.77,48,9.78483245149912,3500,735
680,4.4,6.0,128.0,6.53,64,8.0,4550,17999
312,3.9,4.0,24.0,4.77,48,8.0,1750,984
390,4.1,6.0,32.0,4.4,48,12.0,2500,970
779,4.2,4.0,64.0,4.5,64,9.78483245149912,3000,1099
12,4.4,2.0,16.0,5.5,8,9.78483245149912,4200,5498
407,4.5,6.0,64.0,6.39,48,13.0,3800,21999
408,4.5,6.0,64.0,5.5,35,12.0,3500,36999
305,4.3,2.0,32.0,6.2,38,2.0,4230,12990
354,3.9,6.0,32.0,4.5,64,9.78483245149912,2000,749
25,3.8,6.0,32.0,4.5,64,13.0,3000,649
620,4.1,6.0,32.0,4.7,48,12.0,3000,1499
169,4.0,12.0,24.0,4.5,48,9.78483245149912,3500,799
526,4.2,6.0,32.0,4.54,48,13.0,1750,1549
38,3.9,12.0,12.0,4.54,48,13.0,3000,1579
175,4.2,6.0,128.0,6.08,48,8.0,4030,17190
245,4.1,6.0,32.0,4.5,48,0.0,1050,849
298,4.1,2.0,16.0,5.5,8,8.0,4200,5498
696,4.4,4.0,64.0,6.35,38,2.0,5000,12900
416,4.1,6.0,32.0,3.7,64,15.0,3500,970
568,3.6,6.0,35.0,4.5,64,9.78483245149912,1050,849
272,4.4,4.0,128.0,6.5,48,8.0,5000,16990
473,4.2,4.0,4.0,4.5,64,13.0,3500,1599
636,4.4,8.0,128.0,6.4,64,13.0,4025,29990
154,3.7,6.0,32.0,4.54,38,16.0,3000,1299
126,4.3,3.0,32.0,6.2,38,2.0,4230,13744
449,3.8,6.0,32.0,4.5,64,9.78483245149912,3000,649
723,3.8,6.0,32.0,4.54,48,9.78483245149912,2800,1390
341,4.1,6.0,32.0,3.7,64,5.0,3500,980
430,4.6,6.0,128.0,6.67,48,8.0,3800,42990
287,3.4,6.0,64.0,4.5,48,9.78483245149912,3000,599
113,4.5,6.0,128.0,6.39,48,13.0,3800,24999
731,2.8,1.0,8.0,5.0,8,9.78483245149912,2000,4999
173,4.4,3.0,32.0,6.2,48,16.0,3800,12999
359,3.7,6.0,32.0,4.5,48,9.78483245149912,3000,649
506,4.7,8.0,64.0,5.8,35,12.0,3500,106600
57,3.5,6.0,32.0,4.5,64,17.0,1050,799
572,4.2,8.0,128.0,6.59,35,5.0,3800,29990
222,3.5,6.0,32.0,4.5,48,9.78483245149912,2500,799
717,3.7,6.0,64.0,4.54,48,8.0,1500,749
280,4.3,4.0,64.0,6.5,35,2.0,4230,12490
17,4.5,8.0,128.0,6.7,64,1.0,4700,77999
127,3.9,6.0,32.0,4.77,64,9.78483245149912,4600,1399
322,4.6,12.0,25.0,6.5,64,13.0,3800,35999
255,3.9,6.0,32.0,4.54,48,0.0,3000,1200
